Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work","I am more confident in my skills/the work I do;I am earning more;Nothing has changed, I picked up after my break where I had left;",more than 5 years,Maternity Leave;Childcare;,Timing not right;Lack of flexible jobs;,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independance;Contributing to my savings/retirement;Being a positive role model;",Volunteering;(Re)Training;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,nice to have,very helpful,no need for this,Motherhood;,2 children,No,30 to 39 years,Master's dregree or equivalent,5-10 years,White Scottish,Fk166ej
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am working more hours than before;I have a better (work)life balance;I am more confident in my skills/the work I do;,6 months to 2 years,Childcare;Other Caring Responsibilities;Health reasons/disability/recovery;Burn-out;,Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Health issues (unable to work) ;Health issue (lack of support);Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Lack in confidence;Career switch (unsure what);Not knowing where to start;Unsuccessful applications;Discrimination (age/gender/ethnicity);Discrimination (career gap);,"Yes, three or more separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Financial independance;Filfilment;Being a positive role model;Giving my personal best;,Studying - full-time or part-time;Stay-at-home parent;Unpaid caring responsibility (other than your own children);,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Perimenopausal or Menopausal;Disabled or chronic health condition;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,2 children,Yes,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Scottish,EH9
Yes,Yes,onbreak,more than 5 years,Childcare;Bereavement initially ;,Lack of flexible jobs;Not knowing where to start;Unsuccessful applications;Discrimination (career gap);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,"Contributing to my savings/retirement;Filfilment;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Giving my personal best;",Volunteering;Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,5-10 years,White Scottish,Eh15 
Yes,Yes,onbreak,6 months to 2 years,Childcare;Other Caring Responsibilities;Redundancy;,Lack of flexible jobs;Lack in confidence;,Immediately,,,,,,"No, only one break of 6 months or more",,,,Filfilment;Giving my personal best;Earning money to provide for myself/my family;,Stay-at-home parent;,N/A,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Perimenopausal or Menopausal;,3 children,Yes,40 to 49 years,Secondary/high school education ,Over 20 years,White Scottish,EH54
Yes,Yes,onbreak,more than 5 years,Workplace bullying;Burn-out;Health reasons/disability/recovery;Childcare;,Lack of jobs (salary/experience);Lack of confidence in skills/experience;Lack in confidence;Career switch (can’t afford);,Within six months,,,,,,"No, only one break of 6 months or more",,,,Financial independance;Contributing to my savings/retirement;Filfilment;Being a positive role model;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Older woman (55+);Perimenopausal or Menopausal;Experience of trauma;Mental health issues;,No child,,50 to 59 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,G63
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I changed career;I am earning less;My stress levels have increased ;I am less confident in my skills/ the work I do;I am regretful & angry I haven’t been able to resume my previous career;,2 to 5 years,Burn-out;Workplace bullying;Other Caring Responsibilities;,Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Discrimination (career gap);Lack of confidence in skills/experience;Age discrimination ;,"No, only one break of 6 months or more",,,,Contributing to my savings/retirement;Following my ambition;Giving my personal best;Being a positive role model;Interested in my work;,Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,no need for this,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,2 children,Yes,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Scottish,Eh12
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",I changed career;I am earning more;I am more confident in my skills/the work I do;,6 months to 2 years,Relocation;,"No obstacles, it was planned and/or worked out well ;","No, only one break of 6 months or more",,,,Filfilment;Financial independance;Contributing to my savings/retirement;Earning money to provide for myself/my family;Contributing to society;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,N/A,very helpful,very helpful,Mental health issues;Experience of trauma;,No child,,40 to 49 years,Master's dregree or equivalent,Over 20 years,Irish,G31
Yes,Yes,onbreak,6 months to 2 years,Change career/study;,Unsuccessful applications;,Immediately,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Meeting family expectations;,Studying - full-time or part-time;(Re)Training;,nice to have,nice to have,nice to have,Motherhood;Veteran or spouse of a veteran;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Scottish,KY11
Yes,Yes,onbreak,2 to 5 years,Maternity leave;Childcare;,Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Career switch (unsure what);Unsuccessful applications;Discrimination (career gap);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Filfilment;Being a positive role model;",Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,G43
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I changed career;,6 months to 2 years,Childcare;I was so demotivated in my previous work place and I needed time out to consider what matters to me. I also had child care responsibilities and caring support for elderly relatives. ;,"No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",Less than 2 years,Different or unrelated reasons,The different breaks had different impacts which are not related,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to society;Being a positive role model;",Volunteering;,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Perimenopausal or Menopausal;,1 child,Yes,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,EH14
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I changed career;I am earning more;I have a better (work)life balance;I am more confident in my skills/the work I do;,2 to 5 years,Childcare;,Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Lack of flexible jobs;Not knowing where to start;Unsuccessful applications;Discrimination (career gap);,"No, only one break of 6 months or more",,,,Financial independance;Contributing to my savings/retirement;Following my ambition;Filfilment;Giving my personal best;,Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Perimenopausal or Menopausal;,2 children,No,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Scottish,EH7 
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work","Nothing has changed, I picked up after my break where I had left;I am working more hours than before;My stress levels have increased ;I am less confident in my skills/ the work I do;I tried for promotion but didn’t get it. I’ve been job hunting but not getting anything. I have to work compressed hours to keep my salary but pay less in childcare and the hours alongside parenting is too much for me. I’m struggling mentally. ;",6 months to 2 years,Maternity Leave;,Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Health issues (unable to work) ;Health issue (lack of support);Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack in confidence;Career switch (can’t afford);Career switch (unsure what);Unsuccessful applications;,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Different or unrelated reasons,The different breaks had different impacts which are not related,"Filfilment;Making change for future generations;Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;",Volunteering;Stay-at-home parent;Unpaid caring responsibility (other than your own children);,very helpful,very helpful,nice to have,Motherhood;Mental health issues;Experience of trauma;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,1 child,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Other British,EH8
Yes,Yes,onbreak,2 to 5 years,Childcare;,Timing not right;,In about a year,,,,,,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,Not sure,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Giving my personal best;Filfilment;",Volunteering;Stay-at-home parent;,nice to have,very helpful,nice to have,Motherhood;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,AB33
Yes,Yes,onbreak,2 to 5 years,Other Caring Responsibilities;Health reasons/disability/recovery;,Health issue (lack of support);Lack of flexible jobs;Lack of jobs (with progression);,Within six months,,,,,,"No, only one break of 6 months or more",,,,Filfilment;Giving my personal best;Contributing to society;Financial independance;Following my ambition;,Studying - full-time or part-time;(Re)Training;Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,N/A,very helpful,very helpful,"Perimenopausal or Menopausal;Disabled or chronic health condition;ADHD, autism or other neurodivergence ;",No child,,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,PH22
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I changed career;I am earning less;I am less confident in my skills/ the work I do;,more than 5 years,Childcare;Relocation;Redundancy;,Lack of affordable care;Lack of support (family/network) ;Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Lack in confidence;,"Yes, two separate breaks of at least 6 months each",more than 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Contributing to my savings/retirement;Status;Being a positive role model;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,3 children,No,40 to 49 years,Master's dregree or equivalent,15-20 years,White Scottish,EH9
